scope,municipality_id,municipio_nombre,disease_key,disease_name,confirmation_status,case_count,started_at,ended_at,status,source_datasets,latest_update
MUNICIPALITY,42000000-0000-0000-0000-000000000646,Tonala,INFLUENZA,Influenza,SUSPECTED,3,2026-06-22 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000180,Tonala,MEASLES,Measles,CONFIRMED,1,2026-07-04 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000646,Tonala,MEASLES,Measles,CONFIRMED,18,2026-06-09 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000180,Tonala,MEASLES,Measles,SUSPECTED,7,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000646,Tonala,MEASLES,Measles,SUSPECTED,315,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000180,Tonala,RUBELLA,Rubella,SUSPECTED,7,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000646,Tonala,RUBELLA,Rubella,SUSPECTED,315,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000777,Tonatico,COVID-19,COVID-19,SUSPECTED,1,2026-07-15 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000777,Tonatico,INFLUENZA,Influenza,SUSPECTED,1,2026-07-15 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000071,Torreon,COVID-19,COVID-19,CONFIRMED,3,2026-07-20 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000071,Torreon,COVID-19,COVID-19,SUSPECTED,20,2026-06-01 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000071,Torreon,DENGUE,Dengue fever,SUSPECTED,3,2026-06-04 00:00:00,,ACTIVE,DENGUE_ABIERTO,2026-08-20
MUNICIPALITY,42000000-0000-0000-0000-000000000071,Torreon,INFLUENZA,Influenza,SUSPECTED,20,2026-06-01 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000071,Torreon,MEASLES,Measles,SUSPECTED,1,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000071,Torreon,RUBELLA,Rubella,SUSPECTED,1,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000649,Totatiche,COVID-19,COVID-19,SUSPECTED,1,2026-08-08 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000649,Totatiche,INFLUENZA,Influenza,SUSPECTED,1,2026-08-08 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000649,Totatiche,MEASLES,Measles,SUSPECTED,1,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000649,Totatiche,RUBELLA,Rubella,SUSPECTED,1,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000002078,Totolac,COVID-19,COVID-19,CONFIRMED,4,2026-07-04 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000002078,Totolac,COVID-19,COVID-19,SUSPECTED,23,2026-06-08 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
